Sample Name,Lab Number,Date,Sample Label,UTM east,UTM north,Elevation,Temp C,pH,Li,Na,K,Ca,Mg,SiO2,B,Cl,F,SO4,HCO3,CO3,NH4,As,Rb,Cs,Sr,Ba,Fe,Mn
MC-1  06/03/1983  0900,,,,,,0,,8.3,3.4,1330,116,39,1.5,370,14.3,2040,2.7,130,36,,-0.5,1,,,,,,
MC-1  09/03/1983  0900,,,,,,0,,8.4,3.4,1320,114,39,1.5,370,14,2030,2.7,130,34,,-0.5,1,,,,,,
MC-1  13/03/1983  0900,,,,,,0,,8.4,3.4,1320,109,40,1.4,380,13.9,2060,2.8,130,35,,-0.5,1,,,,,,
MC-1  16/03/1983  0900,,,,,,0,,8.4,3.3,1310,111,38,1.5,380,13.6,2050,2.7,130,34,,-0.5,1,,,,,,
MC-1  20/03/1983  0900,,,,,,0,,8.4,3.4,1280,110,39,1.5,380,14.5,2040,2.7,130,34,,-0.5,0.9,,,,,,
MC-1  23/03/1983  0900,,,,,,0,,8.4,3.4,1290,114,39,1.5,380,13.8,2040,2.7,130,34,,-0.5,1,,,,,,
MC-1  27/03/1983  0900,,,,,,0,,8.4,3.3,1310,113,40,1.5,370,14.6,2030,2.7,130,34,,-0.5,0.9,,,,,,
MC-1  30/03/1983,,,,,,0,,8.5,3.4,1290,110,38.6,1.3,380,15,2060,2,140,40,,-0.5,0.8,,,,,,
MC-1  03/04/1983,,,,,,0,,8.5,3.5,1420,120,41.9,0.5,410,16,2230,2.2,140,42,,-0.5,0.9,,,,,,
MC-1  06/04/1983,,,,,,0,,8.4,3.5,1320,110,38.8,0.4,410,15,2130,2.2,130,42,,-0.5,0.7,,,,,,
MC-1  10/04/1983,,,,,,0,,8.4,3.4,1320,110,37.6,1.4,310,14,2060,2,140,43,,-0.5,0.8,,,,,,
MC-1  14/04/1983 ,,,,,,0,,8.4,3.4,1310,120,36.2,1.5,370,14,2030,2,140,43,,-0.5,0.7,,,,,,
MC-1  18/04/1983,,,,,,0,,8.4,3.3,1280,110,36.2,1.6,380,13,2040,2,140,43,,-0.5,0.8,,,,,,
MC-1  21/04/1983,,,,,,0,,8.4,3.3,1360,120,37.9,1.6,380,14,2020,1.9,140,44,,-0.5,0.9,,,,,,
MC-1  24/04/1983,,,,,,0,,8.4,3.3,1260,110,36,1.6,390,14,2010,1.9,140,43,,-0.5,1,,,,,,
MC-1  27/04/1983,,,,,,0,,8.4,3.4,1310,110,36.5,1.6,390,14,2020,1.9,140,42,,-0.5,1,,,,,,
MC-1  01/05/1983,,,,,,0,,8.4,3.3,1280,110,36.1,1.6,380,14,2010,1.9,140,43,,-0.5,0.9,,,,,,
MC-1  04/05/1983,,,,,,0,,8.4,3.3,1270,110,34.2,1.6,380,15,2010,1.9,130,40,,-0.5,1.1,,,,,,
MC-1  08/05/1983,,,,,,0,,8.4,3.4,1290,110,36,1.6,350,15,2000,1.9,140,43,,-0.5,0.9,,,,,,
MC-1  12/05/1983  0930,,,,,,0,,8.4,3.2,1280,100,35,1.5,370,14,2000,2.2,140,43,,-0.5,1,,,,,,
MC-1  05/06/1983  0900,,,,,,0,,8.3,3.2,1350,110,34,1.5,380,14,2000,2.2,130,42,,-0.5,1,,,,,,
